需求 ID,功能描述,優先級,相關模組,驗收標準,SDD 澄清決策
REQ-001,"後台上架商品功能：支援上傳商品資訊，包括名稱、描述、價格（公斤/台斤，每商品單一單位）、圖片（最多 5 張，單張上限 2MB，支援 JPG/PNG/WebP）、分類（水果類、南北乾貨；子分類：進口/台灣產）、庫存、包裝規格（純文字欄位）。商品建立後狀態為「已上架」。商品可綁定至一或多個網站（REQ-007），綁定時設定該商品於該網站的上架時間。前台商品頁 URL 格式為 /project/{網站ID}/product/{商品slug}，slug 基於商品名稱自動產生。（更新：商品綁定網站含上架時間、前台 URL 格式含網站層級）",高,後端,"上傳成功；URL 產生並顯示正確頁面；圖片數量與大小驗證；價格 > 0 驗證；商品可綁定網站並設定上架時間。","圖片最多5張/2MB/JPG+PNG+WebP；包裝規格為純文字；連結自動 slug 產生；所有管理員皆可建立商品（粗粒度 RBAC）；價格必須 > 0；商品綁定網站時需設定上架時間；前台 URL 格式 /project/{網站ID}/product/{商品slug}。"
REQ-002,"一頁式商品網站建置：顯示商品詳情、圖片輪播、價格、包裝選項。版面由上至下排列（圖片輪播→名稱→價格→包裝選項→加入購物車按鈕）。不顯示庫存數量。預購商品與一般商品共用同一頁面 UI，預購商品動態顯示預購標籤與倒數計時器。顧客透過 /project/{網站ID}/product/{商品slug} 進入商品頁。（更新：URL 格式含網站層級）",高,前端,"響應式；載入 FCP < 3 秒；預購標籤與倒數計時器正確顯示；URL 路由正確解析網站ID與商品slug。","版面由上至下排列；不顯示庫存數量；預購與一般商品共用頁面 UI；顧客透過 /project/{網站ID}/product/{商品slug} 進入；載入以 FCP 量測。"
REQ-003,"購物車功能：加入商品、組合包、調整數量、計算總價（含運費預估）。純前端 Local Storage 實作，儲存完整商品資訊（含名稱、圖片 URL、所屬網站ID）。購物車為獨立頁面（/cart）並顯示運費預估。調整範圍僅限數量調整與刪除（不含修改包裝規格），數量設為 0 等同刪除。預購商品不可與一般商品混合加入購物車。購物車僅限同一網站的商品（不同網站商品不可混合）。庫存不足時顯示通用錯誤訊息。（更新：儲存網站ID、同網站限制）",高,前端,"即時更新；Local Storage 保留完整商品資訊含網站ID；預購/一般商品不可混合驗證；不同網站商品不可混合驗證。","純前端 Local Storage；儲存完整商品資訊含網站ID；購物車為獨立頁面；調整僅限數量與刪除；數量 0 = 刪除；預購不可與一般商品混合；同一網站限制；庫存不足顯示通用錯誤訊息。"
REQ-004,"使用者下單表單：獨立頁面（/checkout），填寫姓名、地址（純文字：縣市+區+詳細地址）、電話、Email、備註、統一編號（選填，僅 8 碼數字格式驗證）；運送方式（宅配/自取）；運費由後端 API 計算（依區域：北北基桃竹 NT$80、本島其他 NT$150；滿額免運門檻為後台可設定動態值預設 NT$1,500；外島顯示「不支援外島運送」並阻擋提交、禁用按鈕；自取運費固定 NT$0 免地址驗證）。表單前後端都執行驗證。建立訂單時使用資料庫樂觀鎖（@Version）同步扣減庫存防超賣。顧客為匿名使用者（不需登入）。訂單建立時記錄所屬網站ID，供後台依網站查詢。（更新：訂單記錄所屬網站ID）",高,前端/後端,"地址輸入後呼叫 API 即時計算運費；滿額自動免運；外島驗證錯誤提示並禁用按鈕；統一編號 8 碼驗證；庫存樂觀鎖防超賣；訂單正確記錄所屬網站ID。","匿名購物不需登入；下單為獨立頁面；地址純文字輸入；統一編號僅 8 碼格式驗證；運費由後端 API 計算；滿額免運門檻後台可設定（預設 1500）；自取運費 0 免地址驗證；樂觀鎖同步扣減庫存；訂單記錄所屬網站ID。"
REQ-005,"金流串接：綠界全方位金流 API v5，支援 LINE Pay、轉帳、信用卡三種付款方式（顧客自選）。單頁式付款頁，選擇方式後跳轉綠界。幣別 TWD，無最低限額，最高依綠界限制。僅「待付款」訂單可建立付款，建立後狀態變為「付款處理中」。回調使用 HTTP POST + CheckMacValue（SHA256）驗證，成功回應 ""1|OK""。付款成功 → 訂單「已付款」，失敗 → 「付款失敗」。回傳付款頁面網址 + 交易編號 + 過期時間。測試環境使用綠界測試平台。（更新：API 版本、付款頁設計、回調驗證、狀態流轉）",高,整合,"支付成功通知；後台查詢；CheckMacValue 驗證通過；狀態正確流轉。","綠界 API v5；三種付款方式顧客自選；單頁付款跳轉綠界；CheckMacValue SHA256 驗證；回應 1|OK；狀態流轉：待付款→處理中→已付款/失敗；回傳 URL+交易編號+過期時間。"
REQ-006,"發票開立：付款成功後同步自動開立。支援二聯式（個人）與三聯式（公司）。載具支援手機條碼（/+7碼英數）與自然人憑證（2碼大寫英文+14碼數字）。載具資訊在付款頁內嵌輸入。每張訂單僅開立一次發票。開立成功回傳發票號碼 + 隨機碼 + 開立日期。不顯示付款手續費。（更新：開立時機、發票類型、載具格式、一對一關係、回傳欄位）",高,整合,"自動開立；載具驗證成功；二聯/三聯正確開立；發票號碼回傳。","付款成功後同步自動開立；二聯式+三聯式；手機條碼+自然人憑證；載具在付款頁內嵌輸入；每訂單一張發票；回傳發票號碼+隨機碼+日期。"
REQ-007,"網站管理（與 REQ-023 合併）：後台管理員可建立、查詢、編輯、啟用/停用網站（獨立 CRUD）。網站建立時設定：名稱（必填）、訂閱方案（文字描述，記錄商家訂閱資訊，平台不管理訂閱金流）、網站上架時間與下架時間（控制網站前台可見期間）、Banner 圖片、宣傳文案圖片（選填）。每個網站自動產生唯一前台連結，URL 格式為 /project/{網站ID}（商品集合頁）。商品可透過網站管理頁批次關聯至網站，關聯時設定該商品於此網站的上架時間。網站狀態含「草稿」「已上線」「已下線」三種。後台以清單 + 編輯面板單頁佈局呈現。（更新：獨立 CRUD、訂閱方案、上下架時間、URL 格式 /project/{網站ID}、商品關聯含上架時間、網站狀態、平台不管理訂閱金流）",高,後端/前端,"網站 CRUD 正常；URL 自動產生格式正確；上下架時間控制前台可見性；商品批次關聯含上架時間；狀態流轉正確；訂閱方案正確儲存。","獨立 CRUD（建立/查詢/編輯/啟停）；名稱必填；訂閱方案文字描述不管理金流；上下架時間控制可見性；Banner+宣傳圖片選填；URL /project/{網站ID} 自動產生；商品批次關聯含上架時間；狀態：草稿/已上線/已下線；清單+編輯面板佈局。"
REQ-008,"後台訂單查詢：單一列表頁含篩選與操作按鈕。篩選條件為所屬網站、訂單編號、日期區間（YYYY-MM-DD）、付款狀態（預定義枚舉）。手動點擊搜尋按鈕觸發查詢。分頁預設每頁 20 筆。CSV 匯出固定欄位（訂單編號、所屬網站、顧客、商品、金額、狀態、時間），UTF-8 with BOM 編碼，直接匯出不需確認框。匯出權限與查詢權限相同。（更新：新增所屬網站篩選條件、CSV 新增網站欄位）",高,後端,"分頁正常；CSV 匯出 UTF-8 BOM；篩選正確含網站篩選；手動搜尋觸發。","單一列表頁；篩選：所屬網站+訂單編號+日期區間+付款狀態；手動搜尋按鈕；每頁 20 筆；CSV 固定 7 欄位含網站 UTF-8 BOM；直接匯出無確認框。"
REQ-009,"後台發票明細查詢：獨立發票管理頁面。篩選條件為所屬網站、發票號碼、開立日期區間、發票狀態。狀態含「已開立」「已作廢」「已折讓」「同步中」四種。分頁預設每頁 20 筆，最大 100 筆。作廢僅限「已開立」狀態且開立後當期（同月份）內，需填寫原因並二次確認（彈出確認框+原因輸入）。作廢同步呼叫綠界作廢 API。綠界同步失敗提供手動重新同步按鈕。（更新：新增所屬網站篩選條件）",高,後端,"綠界同步；發票狀態正確；作廢二次確認；同步失敗可手動重試；網站篩選正確。","獨立發票管理頁面；篩選：所屬網站+發票號碼+日期+狀態；四種狀態；每頁 20 筆/最大 100 筆；作廢需原因+二次確認+同月份限制；同步失敗提供重試按鈕。"
REQ-010,"折讓發票與退款：統一以折讓處理（不拆分退款與折讓）。僅「已開立」狀態可折讓，折讓金額不超過原始發票金額。折讓需二次確認。折讓完成後系統自動發送 Email 通知客戶。回傳折讓編號 + 退款狀態。透過綠界折讓 API 執行。退貨場景：當訂單標註為「已退貨」（REQ-025）時，可對該訂單發票執行全額折讓（折讓至 0 元），後續退款由人工處理。（更新：新增退貨場景全額折讓說明）",高,後端/整合,"狀態更新；通知客戶；折讓金額驗證；綠界 API 同步；退貨訂單可全額折讓。","統一以折讓處理；僅已開立可折讓；金額不超過原發票；需二次確認；自動 Email 通知客戶；回傳折讓編號+退款狀態；退貨場景折讓至 0 元後人工處理退款。"
